	序号NO.	地区REGION	产品类别CATEGORY	在华注册编号CHINA REG. NO.	所在地区注册编号OVERSEAS REG. NO.	企业名称NAME	生产场所地址ADDRESS	注册日期REG. DATE	注册有效期REG. EXPIRE DATE	状态STATE
163	164	中国台湾	饼干、糕点、面包	CTWN25012112230006	D-154069552-00000-7	自然素材食品有限公司	台南市永康区埔园里自强路582号1楼	2021-12-23	2026-12-23	暂停进口
164	165	中国台湾	饼干、糕点、面包	CTWN25012112230005	D-189500561-00000-5	恩侖食品有限公司	台南市永康區埔園里四維街58巷27號	2021-12-23	2026-12-23	暂停进口
165	166	中国台湾	糖果	CTWN27012112230003	31264218	郭元益食品股份有限公司	台灣桃園市楊梅區青年路9巷1號	2021-12-23	2026-12-23	暂停进口
166	167	中国台湾	其他糖	CTWN26052112230001	67001309	新鳳鳴茶業有限公司	臺南市永康區尚頂里正南三路1號	2021-12-23	2026-12-23	有效
167	168	中国台湾	碳酸饮料	CTWN24042112220001	K-123477239-00001-6	苗榮食品股份有限公司	苗栗縣三義鄉西湖村八櫃62號	2021-12-22	2026-12-22	有效
168	169	中国台湾	饼干、糕点、面包	CTWN25012112220001	H-186830223-00001-8	BEANS GROUP FOODS SCIENCE AND TECHNOLOGY CO., LTD.	No.31, 226 Alley, Sec. 2 Nan Kan RD., Lu Zhu District, Taoyuan City, Taiwan	2021-12-22	2026-12-22	有效
169	170	中国台湾	巧克力	CTWN27022112220001	H-186830223-00001-8	BEANS GROUP FOODS SCIENCE AND TECHNOLOGY CO., LTD.	No.31, 226 Alley, Sec. 2 Nan Kan RD., Lu Zhu District, Taoyuan City, Taiwan	2021-12-22	2026-12-22	有效
170	171	中国台湾	调味料	CTWN11012112010027	D-154574242-00001-5	益記號國際貿易有限公司	台南市新營區府西路78號3樓	2021-01-02	2026-01-01	暂停进口
171	172	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010029	B-180112344-00000-2	大漢生技股份有限公司	台中市烏日區前竹里仁義街18號1樓	2021-01-02	2026-01-01	有效
172	173	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010030	D-128403829-00004-1	上智食品股份有限公司關廟廠	台南市關廟區下湖里保東一街355號	2021-01-02	2022-07-08	注销
173	174	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010031	F-184628110-00000-3	義峰食品股份有限公司	新北市土城區忠義路55巷54號1樓	2021-01-02	2026-01-01	有效
174	175	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010037	K-189521236-00000-4	泉順食品企業股份有限公司	苗栗縣苑裡鎮玉田里玉田91之1號	2021-01-02	2026-01-01	暂停进口
175	176	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010033	H-180392730-00001-8	雄霸生物科技有限公司	桃園市桃園區大林里興華路13之1號、13之1號2樓、13之1號3樓、13之1號4樓	2021-01-02	2026-01-01	有效
176	177	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010034	I-155956268-00000-2	易兆環球有限公司	嘉義市西區福全里福義街33號1樓	2021-01-02	2026-01-01	暂停进口
177	178	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010035	K-112929762-00001-7	亞洲瑞思生物科技股份有限公司銅鑼廠	苗栗縣銅鑼鄉銅鑼村二四鄰民權路六之一號	2021-01-02	2026-01-01	有效
178	179	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010036	K-188812355-00000-8	義合工廠	苗栗縣頭份市廣興里二鄰廣興二七之一一號	2021-01-02	2026-01-01	暂停进口
179	180	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010032	H-143939202-00001-8	陸穀實業股份有限公司第一廠	桃園市新屋區石磊里8鄰華興路500、536號	2021-01-02	2026-01-01	有效
180	181	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010038	K-189521236-00001-5	泉順食品企業股份有限公司	苗栗縣苑裡鎮玉田里玉田九一之一號	2021-01-02	2026-01-01	暂停进口
181	182	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010039	N-128509695-00005-0	壽米屋企業有限公司二林廠	彰化縣二林鎮南光里儒林路二之三號	2021-01-02	2026-01-01	暂停进口
182	183	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010040	P-116932893-00001-5	嬌旺食品有限公司	雲林縣斗六市榴中里復興路四九號	2021-01-02	2026-01-01	暂停进口
183	184	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010041	P-116938714-00000-2	亞世佳食品股份有限公司	雲林縣斗六市榴中里民有街6號	2021-01-02	2026-01-01	有效
184	185	中国台湾	包馅面食	CTWN07012112010089	A-152490859-00000-0	果貿國際有限公司	台北市中山區松江路283號5樓	2021-01-02	2026-01-01	暂停进口
185	186	中国台湾	包馅面食	CTWN07012112010085	A-116602990-00000-1	阿默企業股份有限公司	台北市萬華區艋舺大道184號1樓	2021-01-02	2026-01-01	有效
186	187	中国台湾	包馅面食	CTWN07012112010086	A-124567357-00000-7	華麗藥業股份有限公司	台北市松山區民生東路5段204號2樓之2	2021-01-02	2026-01-01	暂停进口
187	188	中国台湾	包馅面食	CTWN07012112010087	A-131264218-00000-5	郭元益食品股份有限公司	台北市士林區文林路546號1樓	2021-01-02	2026-01-01	暂停进口
188	189	中国台湾	包馅面食	CTWN07012112010088	A-150892174-00000-4	呈森事業股份有限公司	台北市中正區重慶南路1段63號11樓之3	2021-01-02	2026-01-01	暂停进口
189	190	中国台湾	谷物制粉工业产品和麦芽	CTWN09012112010042	P-128370926-00000-0	正昇碾米工廠股份有限公司	雲林縣西螺鎮頂湳里頂南32之2號	2021-01-02	2026-01-01	暂停进口
190	191	中国台湾	包馅面食	CTWN07012112010091	A-154183836-00000-6	京典食品有限公司	台北市中山區吉林路407巷21號1樓	2021-01-02	2026-01-01	暂停进口
191	192	中国台湾	包馅面食	CTWN07012112010092	A-154330957-00000-4	綺顏國際有限公司	台北市信義區忠孝東路4段553巷22弄21號1樓	2021-01-02	2026-01-01	暂停进口
192	193	中国台湾	包馅面食	CTWN07012112010093	A-180490319-00000-2	維格餅家股份有限公司	新北市五股區成泰路1段87之1號(6樓)	2021-01-02	2026-01-01	暂停进口
193	194	中国台湾	包馅面食	CTWN07012112010094	A-184707536-00000-8	台灣伊莎貝爾食品股份有限公司	台北市大安區杭州南路2段89號1樓	2021-01-02	2026-01-01	有效
194	195	中国台湾	干果	CTWN13012112010141	O-125002075-00000-3	崧鼎國際有限公司	新竹市北區中寮里中清路103號1樓	2021-01-02	2026-01-01	暂停进口
195	196	中国台湾	干果	CTWN13012112010137	N-159661126-00000-7	海山蜜餞行	彰化縣員林市林厝里大饒路１６９號	2021-01-02	2026-01-01	暂停进口
196	197	中国台湾	干果	CTWN13012112010138	N-159726726-00000-5	富田食品廠股份有限公司	彰化县员林市仑雅里员水路一段389巷67号	2021-01-02	2026-01-01	有效
197	198	中国台湾	干果	CTWN13012112010139	N-160329788-00000-4	泰泉食品股份有限公司	彰化縣員林市崙雅里崙雅巷5之26號	2021-01-02	2026-01-01	暂停进口
198	199	中国台湾	干果	CTWN13012112010140	N-186100247-00000-9	昱泰食品有限公司	彰化縣大村鄉美港村中山路1段141巷5號	2021-01-02	2026-01-01	暂停进口
199	200	中国台湾	包馅面食	CTWN07012112010095	B-109283676-00000-0	宗裕食品行	台中市南屯區向心里大墩南路４２９號１樓	2021-01-02	2026-01-01	暂停进口
200	201	中国台湾	干果	CTWN13012112010142	P-122452132-00002-6	憶霖企業股份有限公司(斗六二廠)	雲林縣斗六市榴中里斗工二路31號	2021-01-02	2026-01-01	有效
201	202	中国台湾	坚果与籽类	CTWN12012112010011	B-128802277-00000-5	世宴有限公司	台中市清水區秀水里平等東路２０巷３１號	2021-01-02	2026-01-01	暂停进口
202	203	中国台湾	坚果与籽类	CTWN12012112010012	I-155956268-00000-2	易兆環球有限公司	嘉義市西區福全里福義街33號1樓	2021-01-02	2026-01-01	暂停进口
203	204	中国台湾	包馅面食	CTWN07012112010158	N-124859376-00000-5	金泰利貿易有限公司	彰化縣彰化市平和里林森西路139號1樓	2021-01-02	2026-01-01	暂停进口
204	205	中国台湾	食用谷物	CTWN08012112010035	B-156683293-00000-1	源豐碾米工廠大安分工廠	台中市大安區松雅里大安港路526號	2021-01-02	2026-01-01	暂停进口
205	206	中国台湾	食用谷物	CTWN08012112010036	B-180231138-00001-6	欣園食品有限公司	台中市潭子區潭秀里潭富路一段８１號	2021-01-02	2026-01-01	有效
206	207	中国台湾	水产品	CTWN18FV1806010228	CT4-2875	安稳发	屏东县琉球乡上福村中华路23号	2018-06-01	2023-05-31	暂停进口
207	208	中国台湾	水产品	CTWN18FV1806010391	CT7-0312	实盈金8	高雄市前镇区广西路296巷15号	2018-06-01	2023-05-31	暂停进口
208	209	中国台湾	水产品	CTWN18FV1806010392	CT7-0325	庆丰767	高雄巿新兴区民族二路95号15楼A区	2018-06-01	2023-05-31	暂停进口
209	210	中国台湾	水产品	CTWN18FV1806010393	CT7-0329	福春128号	高雄市前镇区渔港东二路3号3楼328室	2018-06-01	2023-05-31	暂停进口
210	211	中国台湾	水产品	CTWN18FV1903220597	CT4-2807	金裕晟6號	927屏東縣林邊鄉光前路38號	2019-03-22	2024-03-21	暂停进口
211	212	中国台湾	水产品	CTWN18FV1903220596	CT4-2805	聖隆漁31號	宜蘭縣蘇澳鎮蘇東里蘇東路6之17號2樓	2019-03-22	2024-03-21	暂停进口
212	213	中国台湾	水产品	CTWN18FV1903220598	CT4-2811	振豐18	屏東縣琉球鄉本福村中山路142號	2019-03-22	2024-03-21	暂停进口
213	214	中国台湾	水产品	CTWN18FV1806010397	CT7-0407	長富盈	高雄市前鎮區漁港北一路17號1樓	2018-06-01	2023-05-31	暂停进口
214	215	中国台湾	水产品	CTWN18FV1806010400	CT7-0487	上富	高雄市新兴区河南路305巷16号1楼	2018-06-01	2023-05-31	暂停进口
215	216	中国台湾	水产品	CTWN18FV1806010229	CT4-2881	满福财88	高雄市前镇区渔港东二路3号R401之1	2018-06-01	2023-05-31	暂停进口
216	217	中国台湾	水产品	CTWN18FV1806010396	CT7-0392	顺天606	宜兰县苏澳镇南正里江夏路65号	2018-06-01	2023-05-31	暂停进口
217	218	中国台湾	水产品	CTWN18FV1806010395	CT7-0375	兴顺112	高雄市前镇区渔港南一路39号	2018-06-01	2023-05-31	暂停进口
218	219	中国台湾	水产品	CTWN18FV1806010394	CT7-0357	日顺盈	高雄市前镇区渔港北一路13号	2018-06-01	2023-05-31	暂停进口
219	220	中国台湾	水产品	CTWN18FV1806010398	CT7-0438	百富103	高雄市前镇区渔港东二路3号4楼401-2室	2018-06-01	2023-05-31	暂停进口
220	221	中国台湾	水产品	CTWN18FV1903220599	CT4-2838	嘉春23號	屏東縣東港鎮嘉蓮里嘉漁街88號	2019-03-22	2024-03-21	暂停进口
221	222	中国台湾	水产品	CTWN18FV1903220600	CT4-2843	立鴻666	928屏東縣東港鎮延平路162號	2019-03-22	2024-03-21	暂停进口
222	223	中国台湾	水产品	CTWN18FV1903220601	CT4-2852	億豐816號	屏東縣琉球鄉本福村中山路92號之8	2019-03-22	2024-03-21	暂停进口
223	224	中国台湾	水产品	CTWN18FV1903220602	CT4-2888	連漁群23號	屏東縣東港鎮朝安里博愛街154之7號	2019-03-22	2024-03-21	暂停进口
224	225	中国台湾	水产品	CTWN18FV1903220593	CT4-2764	聖豐財23	屏東縣琉球鄉中福村三民路181之1號	2019-03-22	2024-03-21	暂停进口
225	226	中国台湾	水产品	CTWN18FV1903220604	CT4-2918	水和成5号	屏东县琉球乡渔福村三民路15号	2019-03-22	2024-03-21	暂停进口
226	227	中国台湾	水产品	CTWN18FV1903220605	CT4-2948	嘉吉興2號	929屏東縣琉球鄉三民路7巷13之1號	2019-03-22	2024-03-21	暂停进口
227	228	中国台湾	水产品	CTWN18FV1903220606	CT4-2960	新展鑫66	826高雄市梓官區赤崁北路74巷16號	2019-03-22	2024-03-21	暂停进口
228	229	中国台湾	水产品	CTWN18FV1903220592	CT4-2751	億榮16	屏東縣東港鎮興東里中正路二段507巷27弄7號	2019-03-22	2024-03-21	暂停进口
229	230	中国台湾	水产品	CTWN18FV1903220603	CT4-2916	億豐681	929屏東縣琉球鄉漁福村三民路70號	2019-03-22	2024-03-21	暂停进口
230	231	中国台湾	水产品	CTWN18FV1806010065	CT3-4535	明进财12	屏东县东港镇镇海里镇海路35号之1	2018-06-01	2023-05-31	暂停进口
231	232	中国台湾	水产品	CTWN18FV1806010066	CT3-4560	永泉36号	台东县成功镇忠仁里民恒路13号	2018-06-01	2023-05-31	暂停进口
232	233	中国台湾	水产品	CTWN18FV1806010067	CT3-4580	明进财2	屏东县东港镇东和里中山路116之14号	2018-06-01	2023-05-31	暂停进口
233	234	中国台湾	水产品	CTWN18FV1806010068	CT3-4592	光福发3	屏东县东港镇船头里大成路113号	2018-06-01	2023-05-31	暂停进口
234	235	中国台湾	水产品	CTWN18FV1806010074	CT3-4740	连发福6号	屏东县东港镇船头里大东一路326巷2号	2018-06-01	2023-05-31	暂停进口
235	236	中国台湾	水产品	CTWN18FV1806010070	CT3-4641	光福发7	屏东县东港镇镇海里镇海路25号	2018-06-01	2023-05-31	暂停进口
236	237	中国台湾	水产品	CTWN18FV1806010071	CT3-4726	顺益1号	台东县成功镇三民里富荣路6号	2018-06-01	2023-05-31	暂停进口
237	238	中国台湾	水产品	CTWN18FV1806010072	CT3-4731	渔东发36	屏东县东港镇兴渔街140之7号	2018-06-01	2023-05-31	暂停进口
238	239	中国台湾	水产品	CTWN18FV1806010073	CT3-4737	金得成	屏东县林边乡光前路87号	2018-06-01	2023-05-31	暂停进口
239	240	中国台湾	水产品	CTWN18FV1806010069	CT3-4639	惠隆胜2	屏东县东港镇船头里沿海五路262巷3号	2018-06-01	2023-05-31	暂停进口
240	241	中国台湾	水产品	CTWN18FV1806010075	CT3-4745	金鸿益号	台东县成功镇忠智里新生路34号	2018-06-01	2023-05-31	暂停进口
241	242	中国台湾	水产品	CTWN18FV1806010076	CT3-4750	圣易财	屏东县琉球乡渔福村三民路137之4号	2018-06-01	2023-05-31	暂停进口
242	243	中国台湾	水产品	CTWN18FV1806010077	CT3-4753	和成渔2	屏东县东港镇兴渔里兴渔街174－1号	2018-06-01	2023-05-31	暂停进口
243	244	中国台湾	水产品	CTWN18FV1806010078	CT3-4754	震隆成26	屏东县东港镇盛渔里富渔四路20号	2018-06-01	2023-05-31	暂停进口
244	245	中国台湾	水产品	CTWN18FV1806010082	CT3-4880	东元吉	屏东县东港镇镇海里镇海路30之4号	2018-06-01	2023-05-31	暂停进口
245	246	中国台湾	水产品	CTWN18FV1806010081	CT3-4872	有合发号	屏东县琉球乡中福村三民路七巷18号	2018-06-01	2023-05-31	暂停进口
246	247	中国台湾	水产品	CTWN18PP1806010037	65000283	新力香食品有限公司二厂	新北市三峡区介寿路一段318巷17号	2018-06-01	2023-05-31	暂停进口
247	248	中国台湾	水产品	CTWN18PP1806010038	65000734	澎富企业有限公司	新北市中和区员山路506-1号3楼	2018-06-01	2023-05-31	暂停进口
248	249	中国台湾	水产品	CTWN18FV1806010052	CT3-4230	新明胜3	屏东县东港镇镇海里镇海路115之55号	2018-06-01	2023-05-31	暂停进口
249	250	中国台湾	水产品	CTWN18FV1806010080	CT3-4807	清丰财2	屏东县东港镇镇海里富渔路274号	2018-06-01	2023-05-31	暂停进口
250	251	中国台湾	水产品	CTWN18PP1903220175	7FH0040	匯永實業股份有限公司	高雄市前鎮區新衙路296巷1-1號	2019-03-22	2024-03-21	有效
251	252	中国台湾	水产品	CTWN18PP1903220179	99-654582-00	立宏食品有限公司	雲林縣元長鄉山內村頂山路十七之十二號	2019-03-22	2024-03-21	暂停进口
252	253	中国台湾	水产品	CTWN18PP1903220172	6FH0015	崇文冷冻食品股份有限公司	嘉义县布袋镇太平东路378-1号	2019-03-22	2024-03-21	有效
253	254	中国台湾	水产品	CTWN18PP1903220173	6FH0017	嘉楠食品工業股份有限公司	雲林縣元長鄉興工街3號	2019-03-22	2024-03-21	有效
254	255	中国台湾	水产品	CTWN18PP1903220174	7FH0039	上雋水產有限公司	屏東縣東港鎮興東里大利路二段一號	2019-03-22	2024-03-21	有效
255	256	中国台湾	水产品	CTWN18PP1903220176	7FH0041	有興企業股份有限公司	高雄市小港區中利街18號	2019-03-22	2024-03-21	有效
256	257	中国台湾	水产品	CTWN18PP1903220177	7FH0043	百鮮實業股份有限公司	高雄市前鎮區豐漁三路32號	2019-03-22	2024-03-21	暂停进口
257	258	中国台湾	水产品	CTWN18PP1903220178	99-643952-00	昱沅企業股份有限公司	臺中市大雅區上楓村民生路三段267巷5號	2019-03-22	2024-03-21	暂停进口
258	259	中国台湾	水产品	CTWN18FV1806010375	CT7-0218	源懋	高雄市前镇区渔港北一路46号	2018-06-01	2023-05-31	暂停进口
259	260	中国台湾	水产品	CTWN18FV1806010083	CT3-4895	金财进	屏东县东港镇兴台里光复路三段76巷1号	2018-06-01	2023-05-31	暂停进口
260	261	中国台湾	水产品	CTWN18FV1806010376	CT7-0219	振男	高雄市前镇区民裕街101号	2018-06-01	2023-05-31	暂停进口
261	262	中国台湾	水产品	CTWN18FV1806010377	CT7-0221	永大明	高雄市前镇区天后街67号	2018-06-01	2023-05-31	暂停进口
262	263	中国台湾	水产品	CTWN18FV1806010378	CT7-0223	新展3	高雄市鼓山区捷兴二街10号	2018-06-01	2023-05-31	暂停进口
263	264	中国台湾	水产品	CTWN18FV1806010379	CT7-0227	祥发春	高雄市前镇区渔港中一路2号4楼R418	2018-06-01	2023-05-31	暂停进口
264	265	中国台湾	水产品	CTWN18FV1806010386	CT7-0273	上满	高雄市盐埕区新兴街56之1号	2018-06-01	2023-05-31	暂停进口
265	266	中国台湾	水产品	CTWN18FV1806010382	CT7-0246	亿满鸿号	高雄市前镇区渔港中一路2号4楼403室	2018-06-01	2023-05-31	暂停进口
266	267	中国台湾	水产品	CTWN18FV1806010383	CT7-0257	丞富1	高雄市前镇区佛公路175号	2018-06-01	2023-05-31	暂停进口
267	268	中国台湾	水产品	CTWN18FV1806010384	CT7-0261	锦玉龙	高雄市前镇区渔港东二路3号316室	2018-06-01	2023-05-31	暂停进口
268	269	中国台湾	水产品	CTWN18FV1806010385	CT7-0267	元泰216	高雄市前镇区明孝里渔港中二路223巷24号1楼	2018-06-01	2023-05-31	暂停进口
269	270	中国台湾	水产品	CTWN18FV1806010380	CT7-0229	安盛	高雄市前镇区渔港中一路10号	2018-06-01	2023-05-31	暂停进口
